CustomerID,first_purchase,last_purchase,historical_orders,historical_revenue,mean_order_value,median_order_value,std_order_value,max_order_value,total_units,active_purchase_days,country,monetary_value,frequency,bgnbd_recency,T,days_since_last_purchase,tenure_days,average_days_between_orders,historic_clv_annual_margin,R_score,F_score,M_score,RFM_score
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,77183.6,77183.6,0.0,77183.6,74215,1,United Kingdom,0.0,0,0.0,325.1173611111111,325.1173611111111,325.1173611111111,,25995.548718518316,1,1,5,115
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,7,4310.0,615.7142857142857,584.9100000000001,341.07078946836157,1294.32,2458,7,Iceland,599.7016666666667,6,365.03819444444446,366.91180555555553,1.8736111111111111,366.91180555555553,60.839699074074076,1286.2627826472076,5,5,5,555
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,4,1797.24,449.31,338.5,301.1599183158343,892.8,2341,4,Finland,301.48,3,282.7527777777778,357.7368055555556,74.98402777777778,357.7368055555556,94.25092592592593,550.1189056976633,2,4,4,244
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,1757.55,1757.55,0.0,1757.55,631,1,Italy,0.0,0,0.0,18.124305555555555,18.124305555555555,18.124305555555555,,10618.433043411625,4,1,4,414
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,334.4,334.4,0.0,334.4,197,1,Norway,0.0,0,0.0,309.8673611111111,309.8673611111111,309.8673611111111,,118.16927045398008,1,1,2,112
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,8,2506.04,313.255,281.375,230.5931599778524,840.3,536,7,Norway,315.6485714285714,7,260.0861111111111,296.01180555555555,35.925694444444446,296.01180555555555,37.15515873015873,927.0284997079227,3,5,5,355
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,89.0,89.0,0.0,89.0,20,1,Bahrain,0.0,0,0.0,203.79375,203.79375,203.79375,,47.82040666114638,1,1,1,111
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,1079.4,1079.4,0.0,1079.4,530,1,Spain,0.0,0,0.0,231.98541666666668,231.98541666666668,231.98541666666668,,509.4902158002029,1,1,4,114
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,459.4,459.4,0.0,459.4,240,1,Bahrain,0.0,0,0.0,213.95902777777778,213.95902777777778,213.95902777777778,,235.11183670289938,1,1,2,112
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,3,2811.43,937.1433333333333,481.46000000000004,1174.8942498937226,2271.62,1591,3,Portugal,269.90500000000003,2,302.9513888888889,325.125,22.17361111111111,325.125,151.47569444444446,946.8714648212225,4,3,5,435
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,6207.67,6207.67,0.0,6207.67,2708,1,Switzerland,0.0,0,0.0,32.863194444444446,32.863194444444446,32.863194444444446,,20683.925482323604,3,1,5,315
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,1168.06,584.03,584.03,140.2475589805399,683.2,248,2,Austria,683.2,1,149.01527777777778,150.11527777777778,1.1,150.11527777777778,149.01527777777778,852.0289999352348,5,3,4,534
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,4,6310.03,1577.5075,1474.1149999999998,979.4729773837561,2814.3,1609,4,Cyprus,1920.8433333333332,3,274.0027777777778,331.0048611111111,57.00208333333333,331.0048611111111,91.33425925925927,2087.426398152091,3,4,5,345
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,3,2662.06,887.3533333333334,1043.78,306.0543908087798,1083.58,1165,3,Austria,789.24,2,148.23541666666668,200.1298611111111,51.894444444444446,200.1298611111111,74.11770833333334,1456.5321156054922,3,3,5,335
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,189.9,189.9,0.0,189.9,91,1,Belgium,0.0,0,0.0,286.9576388888889,286.9576388888889,286.9576388888889,,72.4638315275919,1,1,1,111
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,5226.23,522.6229999999999,487.17,166.05058794435706,829.99,2229,10,Belgium,527.4588888888889,9,292.21527777777777,295.09722222222223,2.8819444444444446,295.09722222222223,32.46836419753086,1939.266593872076,5,5,5,555
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,276.0,276.0,32.668333290818495,299.1,408,2,Unspecified,252.9,1,132.8673611111111,241.97291666666666,109.10555555555555,241.97291666666666,132.8673611111111,249.79655092253782,2,3,3,233
