CustomerID,discounted_clv_12m,ltv_tier,probability_alive,risk_tier,recommended_action
16446,138876.67766228344,Whales,0.9832630804813686,Low latent risk,VIP service and loyalty perks; avoid blanket discount
14646,72323.23983464367,Whales,0.9996404273003751,Low latent risk,VIP service and loyalty perks; avoid blanket discount
18102,62761.50020799073,Whales,0.999633307024465,Low latent risk,VIP service and loyalty perks; avoid blanket discount
17450,48941.82587242969,Whales,0.9988491928864406,Low latent risk,VIP service and loyalty perks; avoid blanket discount
14096,46360.98628447002,Whales,0.9979707318980715,Low latent risk,VIP service and loyalty perks; avoid blanket discount
14911,35057.9967796534,Whales,0.9998368022977739,Low latent risk,VIP service and loyalty perks; avoid blanket discount
12415,32675.010020100442,Whales,0.9960226754110206,Low latent risk,VIP service and loyalty perks; avoid blanket discount
14156,29064.75067322197,Whales,0.9986910011503699,Low latent risk,VIP service and loyalty perks; avoid blanket discount
17511,22382.973833037307,Whales,0.9991683873868317,Low latent risk,VIP service and loyalty perks; avoid blanket discount
16029,17612.76246874223,Whales,0.8866442546700003,Low latent risk,VIP service and loyalty perks; avoid blanket discount
16684,17280.126326527406,Whales,0.9989637150111683,Low latent risk,VIP service and loyalty perks; avoid blanket discount
15098,16289.118573332144,Whales,0.6241166552738179,High latent risk,Priority targeted retention; test a reversible offer
13694,15926.477273260298,Whales,0.9993656043657968,Low latent risk,VIP service and loyalty perks; avoid blanket discount
15311,14810.207890466088,Whales,0.9997588480358067,Low latent risk,VIP service and loyalty perks; avoid blanket discount
13089,14405.507408210404,Whales,0.9996304980138551,Low latent risk,VIP service and loyalty perks; avoid blanket discount
17949,14288.78170278687,Whales,0.9994714637245484,Low latent risk,VIP service and loyalty perks; avoid blanket discount
15769,14236.470663554424,Whales,0.9986895504057492,Low latent risk,VIP service and loyalty perks; avoid blanket discount
18139,13692.274383712182,Whales,0.9793094627662197,Low latent risk,VIP service and loyalty perks; avoid blanket discount
14088,12761.822875058435,Whales,0.9975289952179219,Low latent risk,VIP service and loyalty perks; avoid blanket discount
15061,12560.801250141621,Whales,0.999355793209194,Low latent risk,VIP service and loyalty perks; avoid blanket discount
14298,12547.330124347392,Whales,0.9988227521553038,Low latent risk,VIP service and loyalty perks; avoid blanket discount
16000,11448.963708728397,Whales,0.9895234440470918,Low latent risk,VIP service and loyalty perks; avoid blanket discount
12931,11262.561919573644,Whales,0.9967115046013267,Low latent risk,VIP service and loyalty perks; avoid blanket discount
12536,11135.463531326637,Whales,0.9644609775285269,Low latent risk,VIP service and loyalty perks; avoid blanket discount
15749,10476.006371870024,Whales,0.8873196815798648,Low latent risk,VIP service and loyalty perks; avoid blanket discount
17841,9819.48118959649,Whales,0.999763104222563,Low latent risk,VIP service and loyalty perks; avoid blanket discount
16013,9133.654603443723,Whales,0.9993415466896404,Low latent risk,VIP service and loyalty perks; avoid blanket discount
13798,9123.842738212612,Whales,0.9995682035278406,Low latent risk,VIP service and loyalty perks; avoid blanket discount
17389,8812.124694007878,Whales,0.9993431242272994,Low latent risk,VIP service and loyalty perks; avoid blanket discount
15838,8470.4821153296,Whales,0.9980585536072685,Low latent risk,VIP service and loyalty perks; avoid blanket discount
16422,8245.197278549014,Whales,0.9965290323061524,Low latent risk,VIP service and loyalty perks; avoid blanket discount
17404,8210.923696095899,Whales,0.9982632604254149,Low latent risk,VIP service and loyalty perks; avoid blanket discount
13098,8183.215296922708,Whales,0.9991497919741837,Low latent risk,VIP service and loyalty perks; avoid blanket discount
12748,8091.223311454096,Whales,0.9998951667815215,Low latent risk,VIP service and loyalty perks; avoid blanket discount
