CustomerID,historical_orders,days_since_last_purchase,frequency,bgnbd_recency,T,historical_revenue,mean_order_value,probability_alive,expected_orders_90d,expected_orders_365d,expected_monetary_value,expected_revenue_12m,expected_margin_12m,discounted_clv_12m,ltv_tier,risk_tier,recommended_action,max_cac_3x,max_cac_1_5x,max_cac_6m_payback,monetary_value_source
16446,2,0.14930555555555555,1,204.97430555555556,205.1236111111111,168472.5,84236.25,0.9832630804813686,0.5931061828680546,2.3848867708221784,204280.03770712708,487184.7594707832,146155.42784123495,138876.67766228344,Whales,Low latent risk,VIP service and loyalty perks; avoid blanket discount,46292.22588742781,92584.45177485562,71455.64343188104,MODEL ESTIMATE — individual Gamma-Gamma shrinkage
14646,73,1.0263888888888888,72,353.0854166666667,354.1118055555556,280206.01999999996,3838.438630136986,0.9996404273003751,16.128315936794422,65.0531093684865,3900.310494652544,253727.32517968764,76118.1975539063,72323.23983464367,Whales,Low latent risk,VIP service and loyalty perks; avoid blanket discount,24107.74661154789,48215.49322309578,37147.18940783574,MODEL ESTIMATE — individual Gamma-Gamma shrinkage
18102,60,0.041666666666666664,59,366.7972222222222,366.8388888888889,259657.3,4327.621666666667,0.999633307024465,12.842038079829077,51.80427757836887,4250.285087810151,220182.94847611897,66054.88454283569,62761.50020799073,Whales,Low latent risk,VIP service and loyalty perks; avoid blanket discount,20920.500069330243,41841.000138660485,32233.754521353607,MODEL ESTIMATE — individual Gamma-Gamma shrinkage
17450,46,7.972916666666666,45,359.17083333333335,367.14375,194390.79,4225.886739130435,0.9988491928864406,9.816655263828581,39.599774335134676,4335.885209319217,171700.07583208918,51510.022749626754,48941.82587242969,Whales,Low latent risk,VIP service and loyalty perks; avoid blanket discount,16313.941957476563,32627.883914953127,25136.17541959855,MODEL ESTIMATE — individual Gamma-Gamma shrinkage
14096,17,3.814583333333333,16,97.26944444444445,101.08402777777778,65164.79,3833.2229411764706,0.9979707318980715,9.84448457144743,39.50442544440128,4116.761612324692,162630.30218645398,48789.090655936205,46360.98628447002,Whales,Low latent risk,VIP service and loyalty perks; avoid blanket discount,15453.66209482334,30907.32418964668,23879.46217355914,MODEL ESTIMATE — individual Gamma-Gamma shrinkage
14911,201,0.8722222222222222,200,372.0756944444444,372.9479166666667,143711.17,714.980945273632,0.9998368022977739,42.54965914679264,171.65713617622393,716.5000902801991,122992.35356750488,36897.70607025146,35057.9967796534,Whales,Low latent risk,VIP service and loyalty perks; avoid blanket discount,11685.998926551132,23371.997853102264,18004.657164843633,MODEL ESTIMATE — individual Gamma-Gamma shrinkage
12415,21,23.93611111111111,20,313.13194444444446,337.06805555555553,124914.53,5948.310952380953,0.9960226754110206,4.7796515151671,19.273976290897025,5947.463830651677,114631.27686294801,34389.38305888441,32675.010020100442,Whales,Low latent risk,VIP service and loyalty perks; avoid blanket discount,10891.670006700147,21783.340013400295,16785.098526612222,MODEL ESTIMATE — individual Gamma-Gamma shrinkage
14156,55,9.080555555555556,54,361.9625,371.04305555555555,117210.08,2131.0923636363636,0.9986910011503699,11.63879255251632,46.95221000055389,2171.7070550071103,101966.44570637826,30589.933711913487,29064.75067322197,Whales,Low latent risk,VIP service and loyalty perks; avoid blanket discount,9688.250224407324,19376.500448814648,14927.072180567273,MODEL ESTIMATE — individual Gamma-Gamma shrinkage
17511,31,2.109722222222222,30,370.9951388888889,373.1048611111111,91062.38,2937.496129032258,0.9991683873868317,6.505453944437052,26.243626576620425,2992.158402390333,78525.08777042906,23557.526331128716,22382.973833037307,Whales,Low latent risk,VIP service and loyalty perks; avoid blanket discount,7460.9912776791025,14921.982555358205,11495.474860662951,MODEL ESTIMATE — individual Gamma-Gamma shrinkage
16029,63,38.09930555555555,62,335.0208333333333,373.1201388888889,80850.84,1283.3466666666666,0.8866442546700003,11.785725615798919,47.54608130038716,1299.5818115820193,61790.022469983116,18537.006740994933,17612.76246874223,Whales,Low latent risk,VIP service and loyalty perks; avoid blanket discount,5870.920822914076,11741.841645828152,9045.436481625014,MODEL ESTIMATE — individual Gamma-Gamma shrinkage
